league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
k_league_1_2026,Jong-Hyeok Kim,South Korea,28,89,3,3.18,0.11,2.14,19.3,139,460,23
k_league_1_2026,Yong-jun Shin,South Korea,25,111,7,4.44,0.28,2.64,25.7,88,361,8
k_league_1_2026,Min-Seok Song,South Korea,24,105,3,4.38,0.12,2.38,25.8,70,295,6
k_league_1_2026,Tae-Hwan Seol,South Korea,22,90,4,4.09,0.18,2.23,21.5,35,126,6
k_league_1_2026,Ko Hyung-jin,South Korea,20,89,3,4.45,0.15,2.3,20.2,185,691,19
k_league_1_2026,Byungjin Park,South Korea,16,43,6,2.69,0.38,1.88,28.2,111,320,14
k_league_1_2026,Dae-Yong Kim,South Korea,16,60,3,3.75,0.19,2.88,24.7,139,502,10
k_league_1_2026,Dong Jun Lee,South Korea,16,64,5,4.0,0.31,2.56,22.0,135,484,12
k_league_1_2026,Woo-Sung Kim,South Korea,15,57,4,3.8,0.27,3.0,23.0,124,485,13
k_league_1_2026,Cheol-Jun Choi,South Korea,10,45,2,4.5,0.2,2.3,21.8,9,43,1
k_league_1_2026,Sang-Hyeop Chae,South Korea,8,28,3,3.5,0.38,2.75,22.0,89,278,7
k_league_1_2026,Hyun Jae Choi,South Korea,7,26,1,3.71,0.14,2.29,26.7,58,241,7
k_league_1_2026,Yong-woo Kim,South Korea,7,29,1,4.14,0.14,2.29,22.8,87,302,8
k_league_1_2026,Go Hyeong-jin,South Korea,5,25,0,5.0,0.0,3.6,23.5,25,108,3
k_league_1_2026,Park Byeong-jin,South Korea,4,17,0,4.25,0.0,3.25,22.5,16,62,0
k_league_1_2026,Kim Hee-gon,South Korea,3,10,0,3.33,0.0,3.0,23.5,103,359,9
k_league_1_2026,Dong sik Jeong,South Korea,2,7,0,3.5,0.0,4.0,19.0,50,197,2
k_league_1_2026,Jun Shin Shin,,1,9,0,9.0,0.0,2.0,28.0,1,9,0
