league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
portugal_liga_betclic_2026_2027,David Rafael Oliveira da Silva,Portugal,22,134,8,6.09,0.36,2.23,29.8,129,733,25
portugal_liga_betclic_2026_2027,Joao Antonio Ferreira Goncalves,Portugal,22,108,13,4.91,0.59,2.77,24.9,144,779,24
portugal_liga_betclic_2026_2027,Luís Godinho,Portugal,21,104,2,4.95,0.1,2.43,27.2,354,1875,50
portugal_liga_betclic_2026_2027,Fabio Jose Costa Verissimo,Portugal,20,104,1,5.2,0.05,2.7,25.9,374,2151,71
portugal_liga_betclic_2026_2027,Antonio Nobre,Portugal,18,91,7,5.06,0.39,2.67,27.7,253,1359,58
portugal_liga_betclic_2026_2027,Gustavo Correia,Portugal,18,97,10,5.39,0.56,2.17,26.3,188,1061,56
portugal_liga_betclic_2026_2027,Miguel Nogueira,Portugal,18,75,5,4.17,0.28,2.56,25.9,158,759,29
portugal_liga_betclic_2026_2027,Joao Pedro Pinheiro,Portugal,17,81,6,4.76,0.35,3.12,25.1,387,1816,47
portugal_liga_betclic_2026_2027,Claudio Filipe Ruivo Pereira,Portugal,16,80,3,5.0,0.19,1.88,27.9,201,1017,32
portugal_liga_betclic_2026_2027,Helder Filipe Claudio Carvalho,Portugal,16,55,2,3.44,0.12,3.19,28.9,97,491,25
portugal_liga_betclic_2026_2027,Sergio Guelho,Portugal,16,78,0,4.88,0.0,2.5,27.8,61,289,9
portugal_liga_betclic_2026_2027,Carlos Macedo,Portugal,15,47,3,3.13,0.2,3.13,25.3,130,607,25
portugal_liga_betclic_2026_2027,Anzhony Rodrigues,Portugal,14,51,3,3.64,0.21,3.0,25.6,96,503,13
portugal_liga_betclic_2026_2027,Bruno Jose Ribeiro Pires Costa,Portugal,14,49,3,3.5,0.21,2.5,25.1,103,467,15
portugal_liga_betclic_2026_2027,Helder Malheiro,Portugal,14,61,5,4.36,0.36,3.93,30.4,255,1407,60
portugal_liga_betclic_2026_2027,Jose Bessa,Portugal,14,96,5,6.86,0.36,2.64,27.7,63,351,12
portugal_liga_betclic_2026_2027,Miguel Andre Monteiro Fonseca,Portugal,13,56,0,4.31,0.0,2.85,25.2,51,262,5
portugal_liga_betclic_2026_2027,Pedro Ramalho,Portugal,13,72,5,5.54,0.38,2.08,29.0,80,430,16
portugal_liga_betclic_2026_2027,Vasilica Iancu,Portugal,12,41,0,3.42,0.0,3.17,26.2,179,841,32
portugal_liga_betclic_2026_2027,Luis Carlos Mateus Filipe,Portugal,11,54,2,4.91,0.18,2.73,26.5,32,148,6
portugal_liga_betclic_2026_2027,Ricardo Baixinho,Portugal,11,73,11,6.64,1.0,3.09,30.5,112,718,36
portugal_liga_betclic_2026_2027,Andre Filipe Domingues Narciso,Portugal,10,54,1,5.4,0.1,2.3,30.3,210,1154,27
portugal_liga_betclic_2026_2027,Marcio Torres,Portugal,9,31,2,3.44,0.22,2.33,25.6,42,198,1
portugal_liga_betclic_2026_2027,Diogo Rosa,Portugal,8,48,1,6.0,0.12,2.88,28.4,57,364,9
portugal_liga_betclic_2026_2027,Vitor Ferreira,Portugal,2,13,2,6.5,1.0,3.5,23.0,200,995,29
portugal_liga_betclic_2026_2027,Fabio Melo,Portugal,1,4,0,4.0,0.0,4.0,30.0,104,606,19
